dataset,alpha,seed,rho,target_fnr,defer_budget,defer_rule,gate,human_accuracy,n_banks,n_banks_with_fraud,n_banks_audited,n_banks_fallback_threshold,n_banks_split_ok,defer_frac,miss_rate_audit,miss_rate_policy,coverage_valid_frac,expected_cost,expected_cost_per_txn,aurc,auto_clear_at_recall80,fpr_at_recall80,achieved_recall80,defer_jain,fpr_gap
ulb,0.1,3,1.0,0.1,0.05,band,brier,1.0,4,3,4,3,2,0.04680452187571216,0.23076923076923078,0.07692307692307693,0.3333333333333333,513.0,0.012006740626316528,0.0014567966292609899,0.9990638019004822,2.3433472371936072e-05,0.75,0.9952768227735797,0.0008422234699606962
ulb,0.1,3,2.0,0.1,0.05,band,brier,1.0,4,3,4,3,2,0.04680452187571216,0.23076923076923078,0.07692307692307693,0.3333333333333333,517.0,0.012100360436268314,0.0014630531942147812,0.9990638019004822,2.3433472371936072e-05,0.75,0.9952768227735797,0.0008422234699606962
ulb,0.1,3,5.0,0.1,0.05,band,brier,1.0,4,3,4,3,2,0.04680452187571216,0.23076923076923078,0.07692307692307693,0.3333333333333333,529.0,0.012381219866123672,0.0014818228890761552,0.9990638019004822,2.3433472371936072e-05,0.75,0.9952768227735797,0.0008422234699606962
ulb,0.1,3,10.0,0.1,0.05,band,brier,1.0,4,3,4,3,2,0.04675791921003969,0.23076923076923078,0.07692307692307693,0.3333333333333333,550.5,0.01288442634461452,0.001828831712338497,0.9990638019004822,2.3433472371936072e-05,0.75,0.9954094942699201,0.001029384241063073
ulb,0.1,3,20.0,0.1,0.05,band,brier,1.0,4,3,4,3,2,0.046478032339884096,0.23076923076923078,0.07692307692307693,0.3333333333333333,598.5,0.01400786406403595,0.003444406372855166,0.9990638019004822,2.3433472371936072e-05,0.75,0.9958908558726117,0.0018716077110237693
ulb,0.1,3,50.0,0.1,0.05,band,brier,1.0,4,3,4,3,2,0.04810885476230005,0.23076923076923078,0.07692307692307693,0.3333333333333333,768.0,0.017975003510742875,0.008199881732838461,0.9990638019004822,2.3433472371936072e-05,0.75,0.9887782544378138,0.004585237039915233
ulb,0.1,42,1.0,0.1,0.05,band,brier,1.0,4,3,4,3,1,0.04131334445329773,0.11538461538461539,0.09615384615384616,0.3333333333333333,1333.0,0.031199531889994147,0.06440377757028652,0.9986190754827384,0.00046868043024863497,0.75,0.9348312999968301,0.07637496750889623
ulb,0.1,42,2.0,0.1,0.05,band,brier,1.0,4,3,4,3,1,0.04131334445329773,0.11538461538461539,0.09615384615384616,0.3333333333333333,1338.0,0.03131655939145699,0.0644320249403668,0.9986190754827384,0.00046868043024863497,0.75,0.9348312999968301,0.07637496750889623
ulb,0.1,42,5.0,0.1,0.05,band,brier,1.0,4,3,4,3,1,0.04131334445329773,0.11538461538461539,0.09615384615384616,0.3333333333333333,1353.0,0.031667641895845526,0.06451676705060763,0.9986190754827384,0.00046868043024863497,0.75,0.9348312999968301,0.07637496750889623
ulb,0.1,42,10.0,0.1,0.05,band,brier,1.0,4,3,4,3,1,0.04131334445329773,0.11538461538461539,0.09615384615384616,0.3333333333333333,1378.0,0.032252779403159744,0.06465800390100904,0.9986190754827384,0.00046868043024863497,0.75,0.9348312999968301,0.07637496750889623
