strategy,round,bank,auprc,alpha
persfl,16,PaySim-Bank2,5.245709010029796e-06,0.1
persfl,16,PaySim-Bank3,1.0,0.1
persfl,16,PaySim-Bank4,0.8544575921537397,0.1
persfl,17,PaySim-Bank0,0.8453064895893322,0.1
persfl,17,PaySim-Bank1,0.9401181650362918,0.1
persfl,17,PaySim-Bank2,5.245709010029796e-06,0.1
persfl,17,PaySim-Bank3,1.0,0.1
persfl,17,PaySim-Bank4,0.9014220097945972,0.1
persfl,18,PaySim-Bank0,0.8981734989216921,0.1
persfl,18,PaySim-Bank1,0.9313989937420226,0.1
persfl,18,PaySim-Bank2,5.245709010029796e-06,0.1
persfl,18,PaySim-Bank3,1.0,0.1
persfl,18,PaySim-Bank4,0.8958239971827779,0.1
persfl,19,PaySim-Bank0,0.8875382802386548,0.1
persfl,19,PaySim-Bank1,0.9357197284756399,0.1
persfl,19,PaySim-Bank2,5.245709010029796e-06,0.1
persfl,19,PaySim-Bank3,1.0,0.1
persfl,19,PaySim-Bank4,0.9023601337209225,0.1
persfl,20,PaySim-Bank0,0.9109524741494152,0.1
persfl,20,PaySim-Bank1,0.9538986983706695,0.1
persfl,20,PaySim-Bank2,5.245709010029796e-06,0.1
persfl,20,PaySim-Bank3,1.0,0.1
persfl,20,PaySim-Bank4,0.8892463932516443,0.1
